集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金その他支払合計額,割引額
20260501,82830,18,4601,18,4601,36,37330,45500,0
20260502,69050,16,4315,16,4315,30,22460,46590,0
20260503,111630,24,4651,24,4651,45,43150,68480,0
20260504,89670,18,4981,18,4981,35,24200,65470,0
20260505,82760,17,4868,17,4868,37,11440,71320,0
20260506,124070,26,4771,26,4771,58,19415,104655,0
20260507,74910,18,4161,18,4161,31,27170,47740,0
20260508,164620,22,7482,22,7482,53,27630,136990,0
20260509,104980,26,4037,26,4037,46,39970,65010,0
20260510,186138,33,5640,33,5640,73,84851,101287,0
