"18期 催事管理（2026年9月〜2027年9月）　催事一覧 No","ステータス","催事名","販売会社","会期(開始)","会期(終了)","日数","搬入日","搬出日","売上日商予算(万円)","売上期間予算(万円)","月","備考"
"1","出店決定","千葉ペリエ　マツキヨ前","渡辺さん＋菊田さん＋NOMADO","2026/9/16","2026/9/30","15","2026/9/15","2026/9/30","10","150","9月",""
"2","出店決定","船橋臨時A","Heartland代行","2026/9/22","2026/10/5","14","2026/9/22","2026/10/5","25","350","9月",""
"3","出店決定","千葉ペリエ　コンコース","渡辺さん＋菊田さん＋NOMADO","2026/10/14","2026/10/23","10","2026/10/13","2026/10/23","15","150","10月",""
"4","出店決定","横浜1-A","渡辺さん＋菊田さん＋NOMADO","2026/10/27","2026/11/1","6","2026/10/27","2026/11/1","50","300","10月","2022年6月平均日商35万"
"5","出店決定","小岩","Heartland代行","2026/10/28","2026/11/10","14","2026/10/28","2026/11/10","25","350","10月",""
"6","出店決定","西船橋","渡辺さん＋菊田さん＋NOMADO","2026/10/30","2026/11/8","10","2026/11/1","2026/11/10","50","500","10月","ペリエ経由　シャインマスカット屋のエンドが決まれば。10/30か31かも7-10日間。階段下スペースをダンボールを隠して欲しい。什器だとベスト"
"7","出店決定","神保町","渡辺さん＋菊田さん＋NOMADO","2026/11/17","2026/11/30","14","2026/11/17","2026/11/30","20","280","11月",""
"8","出店決定","田町","渡辺さん＋菊田さん＋NOMADO","2026/12/1","2026/12/14","14","2026/12/1","2026/12/14","55","770","12月",""
"9","","津田沼","","2026/12/1","2026/12/15","15","2026/12/1","2026/12/15","25","375","12月","JRクロス経由"
"10","出店決定","さいたま新都心","Heartland代行","2026/12/2","2026/12/15","14","2026/12/2","2026/12/15","27","378","12月",""
"11","出店決定","大船","Heartland代行","2026/12/11","2026/12/23","13","2026/12/11","2026/12/23","52","676","12月",""
"12","出店決定","池袋","渡辺さん＋菊田さん＋NOMADO","2026/12/15","2026/12/28","14","2026/12/14","2026/12/28","100","1,400","12月",""
"13","出店決定","目黒","Heartland代行","2026/12/23","2027/1/5","14","2026/12/23","2027/1/5","25","350","12月",""
"14","出店決定","中央林間","Heartland代行","2027/1/11","2027/1/20","10","2027/1/10","2027/1/20","13","130","1月","調整厳しい場合は9/末目処にお知らせ。"
"15","出店決定","西荻窪","渡辺さん＋菊田さん＋NOMADO","2027/1/13","2027/1/26","14","2027/1/13","2027/1/26","20","280","1月","アパレル"
"16","プランA","浦和","","2027/2/1","2027/2/15","15","2027/2/1","2027/2/15","35","525","2月",""
"17","出店決定","大森","渡辺さん＋菊田さん＋NOMADO","2027/2/16","2027/3/1","14","2027/2/16","2027/3/1","20","280","2月",""
"18","プランA","ecute上野","","2027/3/20","2027/4/15","27","2027/3/19","2027/4/15","30","810","3月","花見の一番大きい売り上げの時　１社なら50万日商必達"
"19","プランB","鶴見","","","","","","","15","0","",""
"20","プランB","品川","","","","","","","","0","",""
"21","プランB","イクスピアリ","","","","","","","","0","",""
"22","プランB","鶴見","","","","","","","","0","",""
"23","プランB","Ekimise浅草","","","","","","","","0","",""
"","","出店決定 合計","","","","","","","","6,344","",""
